svm_implementation,svm_kernel_type,orientation,ppc,cpb,color_channel,blur_type,blur_kernel,cv_kfold_num,prec_neg,prec_pos,prec_weight_avg,recall_neg,recall_pos,recall_weight_avg,f1_neg,f1_pos,f1_weight_avg,test_data_pos,test_data_neg,test_data_tot
default,linear,9,4,1,b_star,bilateral,15,5,0.994285714286,0.948051948052,0.980709132138,0.977528089888,0.986486486486,0.980158730159,0.985835694051,0.966887417219,0.980271517521,74,178,252
default,linear,9,4,1,b_star,bilateral,15,5,1.0,0.987179487179,0.996098104794,0.994318181818,1.0,0.99604743083,0.997150997151,0.993548387097,0.996054550613,77,176,253
default,linear,9,4,1,b_star,bilateral,15,5,0.994505494505,0.973684210526,0.988452795674,0.989071038251,0.986666666667,0.988372093023,0.991780821918,0.980132450331,0.988394667387,75,183,258
default,linear,9,4,1,b_star,bilateral,15,5,0.989795918367,1.0,0.992473034841,1.0,0.971014492754,0.992395437262,0.994871794872,0.985294117647,0.992359020239,69,194,263
default,linear,9,4,1,b_star,bilateral,15,5,0.994974874372,0.945945945946,0.982223761118,0.980198019802,0.985915492958,0.981684981685,0.98753117207,0.965517241379,0.981805937348,71,202,273
default,linear,9,4,1,b_star,bilateral,15,5,0.975609756098,0.962025316456,0.971735320848,0.985221674877,0.938271604938,0.971830985915,0.980392156863,0.95,0.971723971279,81,203,284
default,linear,9,4,1,b_star,bilateral,15,5,0.980295566502,0.904761904762,0.959240887272,0.961352657005,0.95,0.95818815331,0.970731707317,0.926829268293,0.958494093652,80,207,287
default,linear,9,4,1,b_star_hist_equal,bilateral,15,5,0.975609756098,0.914634146341,0.958613070451,0.966183574879,0.9375,0.95818815331,0.970873786408,0.925925925926,0.958344766064,80,207,287
default,linear,9,4,1,b_star_hist_equal,bilateral,15,5,0.975609756098,0.914634146341,0.958613070451,0.966183574879,0.9375,0.95818815331,0.970873786408,0.925925925926,0.958344766064,80,207,287
default,linear,9,4,1,b_star,bilateral,15,5,0.980295566502,0.904761904762,0.959240887272,0.961352657005,0.95,0.95818815331,0.970731707317,0.926829268293,0.958494093652,80,207,287
default,linear,9,4,1,b_star_hist_equal,bilateral,15,5,0.975609756098,0.914634146341,0.958613070451,0.966183574879,0.9375,0.95818815331,0.970873786408,0.925925925926,0.958344766064,80,207,287
default,linear,9,4,1,b_star_hist_equal,bilateral,15,5,0.975609756098,0.914634146341,0.958613070451,0.966183574879,0.9375,0.95818815331,0.970873786408,0.925925925926,0.958344766064,80,207,287
default,linear,9,4,1,b_star_hist_equal,bilateral,15,5,0.975609756098,0.914634146341,0.958613070451,0.966183574879,0.9375,0.95818815331,0.970873786408,0.925925925926,0.958344766064,80,207,287
default,linear,9,4,1,b_star_hist_equal,bilateral,15,5,0.975609756098,0.914634146341,0.958613070451,0.966183574879,0.9375,0.95818815331,0.970873786408,0.925925925926,0.958344766064,80,207,287
default,linear,9,4,1,b_star_hist_equal,bilateral,15,5,0.980487804878,0.960526315789,0.975017930644,0.985294117647,0.948051948052,0.975088967972,0.982885085575,0.954248366013,0.975038012955,77,204,281
default,linear,9,4,1,hue_custom,bilateral,15,5,0.970149253731,0.8875,0.947501593456,0.955882352941,0.922077922078,0.946619217082,0.962962962963,0.904458598726,0.946931517959,77,204,281
default,linear,9,4,1,b_star,bilateral,15,5,0.985436893204,0.986666666667,0.985773877391,0.995098039216,0.961038961039,0.985765124555,0.990243902439,0.973684210526,0.985706193267,77,204,281
default,linear,9,4,1,gray,bilateral,15,5,0.976076555024,1.0,0.982632089768,1.0,0.935064935065,0.982206405694,0.98789346247,0.96644295302,0.982015564863,77,204,281
default,linear,9,4,1,b_star_hist_equal,bilateral,15,5,0.980487804878,0.960526315789,0.975017930644,0.985294117647,0.948051948052,0.975088967972,0.982885085575,0.954248366013,0.975038012955,77,204,281
